]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[2]: invalid Factor '[0|0]' for 'StW_Angl' in message 3; default 1.0 used.
Warning: Signals[2]: invalid Offset 'deg' for 'StW_Angl' in message 3; default 0.0 used.
Warning: Signals[2]: invalid Minimum 'NEO' for 'StW_Angl' in message 3; left empty.
Warning: Signals[3]: unknown ByteOrder '@0+' for signal 'StW_AnglSpd' in message 3; defaulting to 1 (Intel).
Warning: Signals[3]: invalid Factor '[0|0]' for 'StW_AnglSpd' in message 3; default 1.0 used.
Warning: Signals[3]: invalid Offset '/s' for 'StW_AnglSpd' in message 3; default 0.0 used.
Warning: Signals[3]: invalid Minimum 'NEO' for 'StW_AnglSpd' in message 3; left empty.
Warning: Signals[4]: unknown ByteOrder '@0+' for signal 'StW_AnglSens_Stat' in message 3; defaulting to 1 (Intel).
Warning: Signals[4]: invalid Factor '[-1|4]' for 'StW_AnglSens_Stat' in message 3; default 1.0 used.
Warning: Signals[4]: invalid Minimum 'NEO' for 'StW_AnglSens_Stat' in message 3; left empty.
Warning: Signals[5]: unknown ByteOrder '@0+' for signal 'StW_AnglSens_Id' in message 3; defaulting to 1 (Intel).
Warning: Signals[5]: invalid Factor '[3|3]' for 'StW_AnglSens_Id' in message 3; default 1.0 used.
Warning: Signals[5]: invalid Minimum 'NEO' for 'StW_AnglSens_Id' in message 3; left empty.
Warning: Signals[6]: unknown ByteOrder '@0+' for signal 'MC_STW_ANGL_STAT' in message 3; defaulting to 1 (Intel).
Warning: Signals[6]: invalid Factor '[0|15]' for 'MC_STW_ANGL_STAT' in message 3; default 1.0 used.
Warning: Signals[6]: invalid Minimum 'NEO' for 'MC_STW_ANGL_STAT' in message 3; left empty.
Warning: Signals[7]: unknown ByteOrder '@0+' for signal 'CRC_STW_ANGL_STAT' in message 3; defaulting to 1 (Intel).
Warning: Signals[7]: invalid Factor '[0|255]' for 'CRC_STW_ANGL_STAT' in message 3; default 1.0 used.
Warning: Signals[7]: invalid Minimum 'NEO' for 'CRC_STW_ANGL_STAT' in message 3; left empty.
Warning: Signals[8]: unknown ByteOrder '@0+' for signal 'StW_AnglHP' in message 14; defaulting to 1 (Intel).
Warning: Signals[8]: invalid Factor '[-819.2|819]' for 'StW_AnglHP' in message 14; default 1.0 used.
Warning: Signals[8]: invalid Offset 'deg' for 'StW_AnglHP' in message 14; default 0.0 used.
Warning: Signals[8]: invalid Minimum 'NEO' for 'StW_AnglHP' in message 14; left empty.
Warning: Signals[9]: unknown ByteOrder '@0+' for signal 'StW_AnglHP_Spd' in message 14; defaulting to 1 (Intel).
Warning: Signals[9]: invalid Factor '[-4096|4095.5]' for 'StW_AnglHP_Spd' in message 14; default 1.0 used.
Warning: Signals[9]: invalid Offset 'deg/s' for 'StW_AnglHP_Spd' in message 14; default 0.0 used.
Warning: Signals[9]: invalid Minimum 'NEO' for 'StW_AnglHP_Spd' in message 14; left empty.
Warning: Signals[10]: unknown ByteOrder '@0+' for signal 'StW_AnglHP_Sens_Stat' in message 14; defaulting to 1 (Intel).
Warning: Signals[10]: invalid Factor '[0|0]' for 'StW_AnglHP_Sens_Stat' in message 14; default 1.0 used.
Warning: Signals[10]: invalid Minimum 'NEO' for 'StW_AnglHP_Sens_Stat' in message 14; left empty.
Warning: Signals[11]: unknown ByteOrder '@0+' for signal 'StW_AnglHP_Sens_Id' in message 14; defaulting to 1 (Intel).
Warning: Signals[11]: invalid Factor '[0|0]' for 'StW_AnglHP_Sens_Id' in message 14; default 1.0 used.
Warning: Signals[11]: invalid Minimum 'NEO' for 'StW_AnglHP_Sens_Id' in message 14; left empty.
Warning: Signals[12]: unknown ByteOrder '@0+' for signal 'MC_STW_ANGLHP_STAT' in message 14; defaulting to 1 (Intel).
Warning: Signals[12]: invalid Factor '[0|15]' for 'MC_STW_ANGLHP_STAT' in message 14; default 1.0 used.
Warning: Signals[12]: invalid Minimum 'NEO' for 'MC_STW_ANGLHP_STAT' in message 14; left empty.
Warning: Signals[13]: unknown ByteOrder '@0+' for signal 'CRC_STW_ANGLHP_STAT' in message 14; defaulting to 1 (Intel).
Warning: Signals[13]: invalid Factor '[0|0]' for 'CRC_STW_ANGLHP_STAT' in message 14; default 1.0 used.
Warning: Signals[13]: invalid Minimum 'NEO' for 'CRC_STW_ANGLHP_STAT' in message 14; left empty.
Warning: Signals[14]: unknown ByteOrder '@1+' for signal 'SpdCtrlLvr_Stat' in message 69; defaulting to 1 (Intel).
Warning: Signals[14]: invalid Factor '[0|0]' for 'SpdCtrlLvr_Stat' in message 69; default 1.0 used.
Warning: Signals[14]: invalid Minimum 'NEO' for 'SpdCtrlLvr_Stat' in message 69; left empty.
Warning: Signals[15]: unknown ByteOrder '@1+' for signal 'VSL_Enbl_Rq' in message 69; defaulting to 1 (Intel).
Warning: Signals[15]: invalid Factor '[0|0]' for 'VSL_Enbl_Rq' in message 69; default 1.0 used.
Warning: Signals[15]: invalid Minimum 'NEO' for 'VSL_Enbl_Rq' in message 69; left empty.
Warning: Signals[16]: unknown ByteOrder '@1+' for signal 'SpdCtrlLvrStat_Inv' in message 69; defaulting to 1 (Intel).
Warning: Signals[16]: invalid Factor '[0|0]' for 'SpdCtrlLvrStat_Inv' in message 69; default 1.0 used.
Warning: Signals[16]: invalid Minimum 'NEO' for 'SpdCtrlLvrStat_Inv' in message 69; left empty.
Warning: Signals[17]: unknown ByteOrder '@1+' for signal 'DTR_Dist_Rq' in message 69; defaulting to 1 (Intel).
Warning: Signals[17]: invalid Factor '[0|200]' for 'DTR_Dist_Rq' in message 69; default 1.0 used.
Warning: Signals[17]: invalid Minimum 'NEO' for 'DTR_Dist_Rq' in message 69; left empty.
